,vehicle,miles_bin,origin_state,count,rpm mean,rpm median,rpm std,vehicle_rank
0,CARGO VAN,0,AL,7,2.262127590355836,2.0395967741935483,0.9549680383886928,0
1,CARGO VAN,0,AZ,3,4.833404030159039,5.432628865979382,1.044394908122686,0
2,CARGO VAN,0,IL,42,2.357947430733834,2.262852246827908,0.656353237355468,0
3,CARGO VAN,0,IN,24,2.078546551100405,1.9219148201041139,0.6068330855027894,0
4,CARGO VAN,0,KY,36,2.404136579916051,2.42999528407815,0.6850628300595398,0
5,CARGO VAN,0,MI,39,2.37679510478122,2.244939024390244,0.6119029759093869,0
6,CARGO VAN,0,NC,3,2.196140992557808,2.2321020408163266,0.1394295380067641,0
7,CARGO VAN,0,NY,6,2.459593951552889,2.513843138037994,0.3918240847813074,0
8,CARGO VAN,0,OH,22,2.7335358622787074,2.522342767295598,0.928223235023587,0
9,CARGO VAN,0,PA,13,2.254096881109192,2.223346855983773,0.4649133243650894,0
10,CARGO VAN,0,SC,4,1.7051507167167341,1.7293614521291683,0.40577210095332095,0
11,CARGO VAN,0,TN,38,1.999589978793823,1.7769036519036523,0.7128277744469455,0
12,CARGO VAN,0,TX,27,2.2999638049171907,2.081266968325792,0.7491919233088257,0
13,CARGO VAN,0,VA,3,2.0607336251911876,1.7879336734693878,0.5989014147452564,0
14,CARGO VAN,0,WI,21,2.201096192213794,2.23230607966457,0.2891844938536828,0
15,CARGO VAN,0,WV,3,2.55273995742087,2.5220440251572325,0.14559680840074202,0
16,CARGO VAN,1,AR,6,2.0496117956830413,1.9779852140493221,0.27043060725805196,0
17,CARGO VAN,1,GA,6,1.456290226577164,1.3467030965391622,0.3528123997967403,0
18,CARGO VAN,1,GJ,6,2.0635770117719576,2.0154440154440154,0.31719693318871484,0
19,CARGO VAN,1,IL,11,1.7829402063152258,1.7374653465346537,0.28493033644993077,0
20,CARGO VAN,1,IN,11,2.0557362162765216,2.13456043956044,0.25751952255468313,0
21,CARGO VAN,1,KY,7,2.3746092485513968,1.999131274131274,0.9669978319994059,0
22,CARGO VAN,1,MI,22,1.6610701094122546,1.6249613866781436,0.37327759921508114,0
23,CARGO VAN,1,MN,11,1.9100670485847133,1.996553480475382,0.30787820204598876,0
24,CARGO VAN,1,MO,8,1.6478400444359174,1.6166301951779565,0.30199609395297894,0
25,CARGO VAN,1,NC,8,1.8709611819702148,1.6111892489745077,0.5809052899233033,0
26,CARGO VAN,1,NX,3,3.5981012658227844,3.6392405063291138,0.07125525474175755,0
27,CARGO VAN,1,OH,19,2.06342238795351,1.9764420062695924,0.6236728079650509,0
28,CARGO VAN,1,PA,5,1.568627450980392,1.568627450980392,0.0,0
29,CARGO VAN,1,SC,9,1.859312773023201,1.793525641025641,0.43545655600598376,0
30,CARGO VAN,1,TN,61,1.6973777521566036,1.6377649325626205,0.5047714931831968,0
31,CARGO VAN,1,TX,25,2.0359598893726623,1.893913043478261,0.6030933637272978,0
32,CARGO VAN,1,VA,5,2.1397120432768295,2.215652951699463,0.4379912353310531,0
