"VEHICLE: CARGO VAN, SPRINTER, CUBE VAN, STRAIGHT TRUCK, TRACTOR",DISTANCE: Miles,"PICKUP STATE: eg - TX, MI","DESTINATION STATE: eg - WI, IL","PICKUP CITY: eg - LAREDO, DALLAS","DESTINATION CITY: eg - HOPKINSVILLE, DALLAS",PICKUP DATE: dd-mm-yyyy,DELIVERY DATE: dd-mm-yyyy,Enter Your Bid Price
TRACTOR,262,KY,MS,HOPKINSVILLE,MANTACHIE,27-02-2023,28-02-2023,0
CARGO VAN,1600,TX,OH,LAREDO,AVON,20-02-2023,22-02-2023,0
TRACTOR,689,KY,ON,BOWLING GREEN,ARTHUR,14-02-2023,15-02-2023,0
TRACTOR,963,TX,AL,LAREDO,TUSCALOOSA,12-02-2023,13-02-2023,0
CARGO VAN,1362,TX,IN,LAREDO,LAFAYETTE,08-02-2023,10-02-2023,0
TRACTOR,1642,MI,TX,BURTON,LAREDO,07-02-2023,10-02-2023,0
TRACTOR,689,KY,ON,BOWLING GREEN,ARTHUR,24-01-2023,25-01-2023,0
TRACTOR,1642,MI,TX,BURTON,LAREDO,18-01-2023,20-01-2023,0
TRACTOR,1217,IN,TX,TROY,LAREDO,19-12-2022,21-12-2022,0
TRACTOR,1251,IA,TX,WATERLOO,LAREDO,19-12-2022,21-12-2022,0
TRACTOR,1464,IN,TX,BREMEN,LAREDO,13-12-2022,14-12-2022,0
TRACTOR,1564,TX,OH,LAREDO,TOLEDO,09-12-2022,11-12-2022,0
STRAIGHT TRUCK,1309,CU,AL,PARQUE INDUSTRIAL LAS TORRES,HUNTSVILLE,09-12-2022,12-12-2022,0
CARGO VAN,1951,GJ,OH,BUENAVISTILLA,FRANKLIN,09-12-2022,12-12-2022,0
CARGO VAN,1702,TX,OH,LOS INDIOS,LORAIN,09-12-2022,12-12-2022,0
SPRINTER,866,NE,OH,KEARNEY,LIMA,09-12-2022,10-12-2022,0
CARGO VAN,835,TL,TX,SAN GABRIEL POPOCATLA,SAN ANTONIO,09-12-2022,12-12-2022,0
SPRINTER,866,NE,OH,KEARNEY,LIMA,09-12-2022,10-12-2022,0
TRACTOR,2262,PU,MI,SAN MARTÍN,DETROIT,09-12-2022,12-12-2022,0
CARGO VAN,1683,PA,TX,SAXONBURG,LAREDO,09-12-2022,12-12-2022,0
CUBE VAN,1967,NY,TX,CANASTOTA,LAREDO,09-12-2022,11-12-2022,0
CARGO VAN,358,MI,KY,ROMULUS,LOUISVILLE,09-12-2022,09-12-2022,0
TRACTOR,726,SC,IL,SENECA,CHICAGO,08-12-2022,10-12-2022,0
CARGO VAN,338,MI,KY,ROMULUS,LOUISVILLE,08-12-2022,09-12-2022,0
CARGO VAN,122,KY,KY,FLEMINGSBURG,LOUISVILLE,08-12-2022,09-12-2022,0
SPRINTER,729,MI,MO,BELLEVILLE,CLAYCOMO,08-12-2022,09-12-2022,0
CUBE VAN,1774,AG,IN,CAMPESTRE SAN CARLOS,BLOOMINGTON,08-12-2022,12-12-2022,0
SPRINTER,1695,TX,MI,MCALLEN,DETROIT,08-12-2022,10-12-2022,0
CARGO VAN,1731,TX,MI,EL PASO,DETROIT,08-12-2022,11-12-2022,0
CARGO VAN,145,KY,IL,HOPKINSVILLE,LAWRENCEVILLE,08-12-2022,08-12-2022,0
CARGO VAN,1649,TX,MI,LAREDO,DETROIT,08-12-2022,10-12-2022,0
STRAIGHT TRUCK,985,TX,AL,LAREDO,VANCE,08-12-2022,09-12-2022,0
SPRINTER,2036,AZ,MI,NOGALES,DETROIT,08-12-2022,11-12-2022,0
TRACTOR,2262,PU,MI,SAN MARTÍN,DETROIT,08-12-2022,12-12-2022,0
SPRINTER,2290,TL,MI,TETLAPA,HIGHLAND PARK,08-12-2022,12-12-2022,0
SPRINTER,1626,TX,MI,LAREDO,DETROIT,08-12-2022,10-12-2022,0
CUBE VAN,1741,TX,MI,LOS INDIOS,HIGHLAND PARK,08-12-2022,12-12-2022,0
STRAIGHT TRUCK,262,KY,MS,HOPKINSVILLE,MANTACHIE,08-12-2022,08-12-2022,0
SPRINTER,1649,TX,MI,LAREDO,DETROIT,08-12-2022,10-12-2022,0
TRACTOR,1532,WI,TX,WAUPACA,LAREDO,08-12-2022,10-12-2022,0
CARGO VAN,1187,TX,MI,FORT WORTH,DEARBORN,08-12-2022,10-12-2022,0
SPRINTER,1731,TX,MI,EL PASO,DETROIT,08-12-2022,09-12-2022,0
CUBE VAN,1122,KY,TX,RUSSELLVILLE,LAREDO,08-12-2022,10-12-2022,0
STRAIGHT TRUCK,1470,TX,IN,LAREDO,SPENCERVILLE,08-12-2022,12-12-2022,0
